Day,Product,Start Stock,Used Today,Restocked,End Stock,Unavailable
1,Acrylic Powder,40,2,0,38,0
2,Acrylic Powder,38,3,0,35,0
3,Acrylic Powder,35,10,0,25,0
4,Acrylic Powder,25,10,30,45,0
5,Acrylic Powder,45,3,0,42,0
6,Acrylic Powder,42,10,0,32,0
7,Acrylic Powder,32,15,0,17,0
8,Acrylic Powder,17,8,30,39,0
9,Acrylic Powder,39,11,0,28,0
10,Acrylic Powder,28,4,0,24,0
11,Acrylic Powder,24,13,30,41,0
12,Acrylic Powder,41,13,0,28,0
13,Acrylic Powder,28,6,0,22,0
14,Acrylic Powder,22,12,30,40,0
15,Acrylic Powder,40,2,0,38,0
16,Acrylic Powder,38,4,0,34,0
17,Acrylic Powder,34,7,0,27,0
18,Acrylic Powder,27,10,0,17,0
19,Acrylic Powder,17,10,30,37,0
20,Acrylic Powder,37,6,0,31,0
21,Acrylic Powder,31,3,0,28,0
22,Acrylic Powder,28,3,0,25,0
23,Acrylic Powder,25,5,0,20,0
24,Acrylic Powder,20,5,30,45,0
25,Acrylic Powder,45,10,0,35,0
26,Acrylic Powder,35,3,0,32,0
27,Acrylic Powder,32,8,0,24,0
28,Acrylic Powder,24,10,30,44,0
29,Acrylic Powder,44,3,0,41,0
30,Acrylic Powder,41,10,0,31,0
