Day,Product,Initial Stock,Demand,Restocked,Final Stock,Lost Sales
1,Widget B,30,20,25,35,0
2,Widget B,35,2,0,33,0
3,Widget B,33,3,0,30,0
4,Widget B,30,13,0,17,0
5,Widget B,17,2,0,15,0
6,Widget B,15,20,25,25,5
7,Widget B,25,7,0,18,0
8,Widget B,18,3,0,15,0
9,Widget B,15,4,0,11,0
10,Widget B,11,15,25,25,4
11,Widget B,25,18,25,32,0
12,Widget B,32,1,0,31,0
13,Widget B,31,8,0,23,0
14,Widget B,23,12,0,11,0
15,Widget B,11,20,25,25,9
16,Widget B,25,20,25,30,0
17,Widget B,30,17,0,13,0
18,Widget B,13,14,25,25,1
19,Widget B,25,10,0,15,0
20,Widget B,15,9,25,31,0
21,Widget B,31,16,0,15,0
22,Widget B,15,10,25,30,0
23,Widget B,30,2,0,28,0
24,Widget B,28,6,0,22,0
25,Widget B,22,0,0,22,0
26,Widget B,22,6,0,16,0
27,Widget B,16,15,25,26,0
28,Widget B,26,0,0,26,0
29,Widget B,26,0,0,26,0
30,Widget B,26,1,0,25,0
